Koray	2315	60	56	0 20 3 5 59
Ayten	2316	43	40	100 0 0 100 85
Ozgur	2317	52	0	49 65 5 100 95
Omer	2318	88	9	100 59 84 5 0
Hacer	2319	66	39	20 5 70 64 100
Bahar	2320	43	50	100 25 3 70 100
Faruk	2321	67	54	5 5 65 97 100
Bulent	2322	0	30	0 0 1 1 100
Burcu	2323	48	20	95 0 100 67 1
Ibrahim	2324	76	100	100 95 96 100 100
Atilla	2325	53	33	65 0 100 5 85
Fuat	2326	35	0	0 0 100 98 100
Adnan	2327	30	24	67 0 16 1 100
Berra	2328	66	100	0 5 100 73 4
Adnan	2329	30	51	1 9 100 91 3
Selim	2330	0	75	9 25 20 0 100
Fatma	2331	34	46	9 1 65 85 0
Bengu	2332	100	69	100 100 1 100 1
Kayhan	2333	100	46	50 25 5 100 50
Ali	2334	71	5	85 85 25 0 25
Emre	2335	84	66	65 0 20 100 1
Engin	2336	46	46	50 65 59 95 21
Orhan	2337	66	45	98 20 25 100 0
Izzet	2338	100	79	59 2 1 73 95
Efe	2339	63	17	100 0 1 0 0
Onur	2340	41	100	70 0 64 21 21
Batuhan	2341	62	54	9 0 95 0 25
Lale	2342	36	67	20 0 25 100 0
Busra	2343	70	61	100 59 5 1 85
Ilyas	2344	8	67	0 1 100 95 1
Ayse	2345	62	64	100 96 83 25 100
Akin	2346	100	9	0 20 0 60 0
Leyle	2347	35	68	65 100 85 0 0
Murat	2348	14	74	5 49 0 97 1
Necmi	2349	51	21	0 25 95 16 3
Fatih	2350	41	0	91 20 73 100 5
Ufuk	2351	77	54	4 3 25 27 50
Beyza	2352	78	59	27 85 70 100 0
Oguzhan	2353	21	77	3 100 0 0 95
Zeynep	2354	68	0	0 0 25 100 85
Engin	2355	94	0	100 1 59 25 100
Suleyman	2356	55	33	60 48 100 85 83
Kerem	2357	36	38	70 95 100 25 16
Ismail	2358	9	33	0 85 100 100 25
Talha	2359	35	100	3 21 1 85 70
Arda	2360	62	50	100 5 0 0 97
Feride	2361	0	98	25 27 0 100 60
Eda	2362	70	70	100 95 0 100 20
Erdem	2363	25	18	84 50 5 59 50
Alperen	2364	0	42	59 27 95 100 100
Pinar	2365	84	27	0 70 100 100 65
Hamza	2366	78	63	0 100 0 20 100
Sevil	2367	24	0	100 100 1 47 5
Salim	2368	0	33	0 95 64 100 4
Eylul	2369	38	49	0 1 0 5 0
Bayram	2370	70	51	0 100 0 100 1
Naz	2371	38	100	100 60 5 100 70
Fatih	2372	18	74	65 65 0 0 25
Hasan	2373	26	56	95 95 0 100 95
Yunus	2374	70	48	0 0 70 5 100
Furkan	2375	71	47	1 70 100 100 65
Eren	2376	5	56	20 9 5 0 1
Gamze	2377	13	100	67 0 49 5 5
Esra	2378	71	88	25 85 91 5 1
Selma	2379	59	41	100 65 100 0 83
Asli	2380	80	14	100 50 25 25 100
Taner	2381	66	62	67 70 25 100 0
Emirhan	2382	33	0	65 67 100 100 73
Ahmet	2383	93	36	0 1 70 0 1
Ramazan	2384	100	59	100 85 95 100 0
Yusuf	2385	13	45	1 73 0 27 95
Umut	2386	24	48	21 85 100 100 60
Cengiz	2387	15	24	84 0 0 0 48
Burkay	2388	7	20	100 21 59 0 3
Semra	2389	60	82	100 20 0 70 50
Nebi	2390	50	55	0 60 100 98 5
Huseyin	2391	51	80	3 0 100 20 100
Cemil	2392	0	66	84 0 65 21 0
Behlul	2393	19	36	25 1 70 5 25
Rustem	2394	16	29	91 5 98 25 100
Yigit	2395	100	29	0 0 0 70 95
Samet	2396	60	25	0 50 100 0 84
Bihter	2397	97	75	95 20 100 0 67
Rasit	2398	78	27	20 5 65 59 20
Halil	2399	96	20	85 1 95 25 0
Mesut	2400	85	57	100 100 100 70 5
Harun	2401	100	49	0 73 20 0 9
Mert	2402	78	0	48 100 100 48 20
Mustafa	2403	66	95	95 67 100 96 100
Sevgi	2404	0	95	5 70 4 60 100
Erkut	2405	39	62	5 25 0 64 95
Mehmet	2406	50	59	1 85 64 73 0
Aykut	2407	82	88	50 70 0 20 25
Merve	2408	81	66	83 70 20 100 50
Enes	2409	100	71	65 5 0 0 100
Toprak	2410	61	73	1 25 84 1 21
Yasemin	2411	71	25	70 85 20 100 59
Ebru	2412	37	79	100 100 100 60 100
Burak	2413	14	62	100 25 21 1 0
Kerem	2414	41	67	27 100 65 0 97
